City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
27,ribeira grande,38.5167,-28.7,15.43,87,55,3.58,PT,1706748699
28,alofi,-19.0595,-169.9187,29.94,84,100,4.63,NU,1706748700
29,cabo san lucas,22.8909,-109.9124,26.17,76,0,5.14,MX,1706748467
30,mahibadhoo,3.7833,72.9667,27.45,73,37,3.12,MV,1706748700
31,qaqortoq,60.7167,-46.0333,-0.83,98,100,7.53,GL,1706748700
32,puerto san jose,13.9256,-90.8244,30.03,65,0,2.06,GT,1706748700
33,terme,41.2092,36.9739,4.96,80,100,1.45,TR,1706748700
34,bechar,31.6167,-2.2167,11.18,43,0,2.06,DZ,1706748700
35,kidatu,-7.6992,36.9572,21.82,95,100,1.23,TZ,1706748700
36,longyearbyen,78.2186,15.6401,-10.09,73,75,6.17,SJ,1706748700
37,invercargill,-46.4,168.35,14.45,73,100,2.68,NZ,1706748692
38,zapresic,45.8564,15.8078,1.07,85,0,0.75,HR,1706748701
39,porto alegre,-30.0331,-51.23,23.88,84,0,5.14,BR,1706748452
40,iqaluit,63.7506,-68.5145,-34.15,62,0,6.17,CA,1706748701
41,dajal,29.5577,70.3762,12.64,42,0,1.45,PK,1706748701
42,rampur,28.8167,79.0333,12.09,94,100,6.34,IN,1706748701
43,puerto natales,-51.7236,-72.4875,7.78,88,100,1.53,CL,1706748701
44,wailua homesteads,22.0669,-159.378,25.44,68,100,4.63,US,1706748701
45,pasni,25.2631,63.471,20.5,37,0,8.22,PK,1706748701
46,yellowknife,62.456,-114.3525,-11.71,85,75,3.09,CA,1706748701
47,meulaboh,4.1363,96.1285,25.27,89,63,1.52,ID,1706748702
48,san patricio,28.017,-97.5169,17.97,70,100,3.12,US,1706748702
49,port mathurin,-19.6833,63.4167,27.79,80,80,10.8,MU,1706748696
50,west island,-12.1568,96.8225,28.99,84,96,2.06,CC,1706748702
51,saint-pierre,-21.3393,55.4781,23.82,94,75,2.57,RE,1706748702
52,fortuna,40.5982,-124.1573,11.19,95,100,9.26,US,1706748702
53,talnakh,69.4865,88.3972,-22.63,72,23,4.27,RU,1706748702
54,port elizabeth,-33.918,25.5701,20.73,92,75,13.89,ZA,1706748702
55,bodaybo,57.8506,114.1933,-34.82,99,51,1.01,RU,1706748702
56,olonkinbyen,70.9221,-8.7187,-5.21,57,100,10.81,SJ,1706748703
57,kruisfontein,-34.0033,24.7314,19.41,88,100,4.97,ZA,1706748703
58,suntar,62.1444,117.6319,-28.35,99,100,1.26,RU,1706748703
59,galliano,29.4422,-90.2992,16.11,62,100,2.64,US,1706748703
60,lompoc,34.6391,-120.4579,15.94,74,75,7.2,US,1706748703
61,antofagasta,-23.65,-70.4,21.6,78,25,1.04,CL,1706748703
62,ilulissat,69.2167,-51.1,-21.99,59,100,1.54,GL,1706748703
63,nefta,33.8731,7.8777,11.14,53,23,2.68,TN,1706748703
64,storm lake,42.6411,-95.2097,5.12,93,0,2.06,US,1706748703
65,codrington,-38.2667,141.9667,22.07,51,0,7.45,AU,1706748704
66,hermanus,-34.4187,19.2345,21.0,90,1,4.31,ZA,1706748704
67,waddan,29.1614,16.139,7.64,68,1,1.81,LY,1706748704
68,whitehorse,60.7161,-135.0538,-9.57,62,75,3.09,CA,1706748704
69,nova sintra,14.8667,-24.7167,21.14,65,0,5.08,CV,1706748704
70,utrik,11.2278,169.8474,26.0,87,100,9.6,MH,1706748704
71,port lincoln,-34.7333,135.8667,20.76,61,0,4.73,AU,1706748704
72,chonchi,-42.6128,-73.8092,18.56,90,17,1.93,CL,1706748704
73,isafjordur,66.0755,-23.124,-7.25,79,82,5.83,IS,1706748704
74,klyuchi,52.2667,79.1667,-10.64,95,64,3.67,RU,1706748690
75,constantia,44.1833,28.65,-1.62,66,8,2.72,RO,1706748695
76,alamosa,37.4695,-105.87,5.99,39,0,2.06,US,1706748426
77,minas de marcona,-15.2119,-75.1103,18.51,79,100,4.86,PE,1706748705
78,gadzhiyevo,69.2551,33.3362,-0.41,81,100,12.33,RU,1706748705
79,puerto ayora,-0.7393,-90.3518,25.36,83,100,4.15,EC,1706748687
80,happy valley-goose bay,53.3168,-60.3315,-12.83,56,75,7.72,CA,1706748705
81,malango,-2.9627,119.9001,23.32,85,100,0.73,ID,1706748705
82,aasiaat,68.7098,-52.8699,-26.25,99,87,4.42,GL,1706748705
83,acarau,-2.8856,-40.12,27.13,85,100,5.41,BR,1706748706
84,bredasdorp,-34.5322,20.0403,21.03,80,48,3.11,ZA,1706748706
85,tura,25.5198,90.2201,13.13,71,0,1.56,IN,1706748706
86,ta`u,-14.2336,-169.5144,28.94,67,100,0.28,AS,1706748706
87,narvik,68.4384,17.4272,4.03,64,100,4.76,NO,1706748706
88,yerofey pavlovich,53.9667,121.9667,-23.86,86,89,1.36,RU,1706748706
89,asadabad,34.7824,48.1185,-1.03,87,80,2.29,IR,1706748706
90,pirallahi,40.4723,50.333,2.08,67,100,2.22,AZ,1706748706
91,nuuk,64.1835,-51.7216,-8.66,86,100,3.6,GL,1706748707
92,ushuaia,-54.8,-68.3,9.81,57,0,6.17,AR,1706748707
93,fort wellington,6.4,-57.6,25.94,87,17,5.35,GY,1706748707
94,edinburgh of the seven seas,-37.0676,-12.3116,17.52,75,100,5.49,SH,1706748707
95,wenchang,30.904,118.4887,7.81,91,100,4.28,CN,1706748707
96,igrim,63.1906,64.4162,-23.95,100,100,1.9,RU,1706748707
97,remire-montjoly,4.9167,-52.2667,27.02,78,20,4.12,GF,1706748707
98,armacao de buzios,-22.7469,-41.8817,25.03,88,100,1.53,BR,1706748708
99,kachkanar,58.7,59.4948,-19.19,100,75,2.02,RU,1706748708
100,winfield,37.2398,-96.9956,15.84,59,0,2.06,US,1706748708
101,al burayqah,30.4062,19.5739,14.43,49,100,6.56,LY,1706748708
102,vetlanda,57.4289,15.0776,2.81,94,100,8.08,SE,1706748708
103,fort saskatchewan,53.7168,-113.2187,5.58,67,100,5.14,CA,1706748438
104,thinadhoo,0.5333,72.9333,27.7,74,100,3.81,MV,1706748708
105,port alfred,-33.5906,26.891,19.54,95,100,3.73,ZA,1706748709
106,mantua,45.1667,10.7833,3.94,82,6,2.96,IT,1706748709
107,colares,38.7992,-9.4469,15.18,82,9,6.71,PT,1706748709
108,koudougou,12.25,-2.3667,24.65,17,96,5.63,BF,1706748709
109,kapuskasing,49.4169,-82.4331,1.05,93,100,4.63,CA,1706748436
110,comodoro rivadavia,-45.8667,-67.5,25.92,25,0,7.72,AR,1706748709
111,santa catalina,9.3337,122.8637,25.99,74,100,4.48,PH,1706748709
112,brisas de zicatela,15.8369,-97.0419,24.56,85,100,0.47,MX,1706748709
113,hamilton,39.1834,-84.5333,4.87,82,100,3.6,US,1706748509
114,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,43,20,3.0,RU,1706748710
115,port arthur,38.8,121.2667,-10.88,58,100,11.15,CN,1706748710
116,berezovyy,51.6667,135.7,-19.57,78,100,0.76,RU,1706748710
117,bela vista,-22.1089,-56.5211,26.99,55,39,2.21,BR,1706748710
118,seorinarayan,21.7333,82.5833,16.72,61,80,1.3,IN,1706748710
119,broken hill,-31.95,141.4333,26.25,28,0,6.66,AU,1706748524
120,labasa,-16.4167,179.3833,30.0,77,69,5.34,FJ,1706748710
121,thompson,55.7435,-97.8558,-14.91,85,40,1.03,CA,1706748509
122,avarua,-21.2078,-159.775,28.03,74,100,2.57,CK,1706748710
123,trebinje,42.7119,18.3442,2.2,70,0,0.51,BA,1706748711
124,petrovsk,52.3064,45.3917,-2.63,97,100,3.92,RU,1706748711
125,fale old settlement,-9.3852,-171.2468,28.75,71,97,2.16,TK,1706748711
126,margaret river,-33.95,115.0667,27.97,41,0,0.71,AU,1706748689
127,huaraz,-9.5333,-77.5333,14.24,81,100,0.72,PE,1706748711
128,enewetak,11.3474,162.3373,26.7,78,80,10.2,MH,1706748711
129,taber,49.8167,-112.1518,11.0,66,21,5.66,CA,1706748711
130,ammon,43.4696,-111.9666,9.03,75,0,1.54,US,1706748711
131,sao francisco de paula,-29.4481,-50.5836,17.8,99,92,1.4,BR,1706748711
132,vrangel',42.7297,133.0839,-14.32,56,0,7.09,RU,1706748712
133,kudahuvadhoo,2.6708,72.8944,27.34,74,17,4.07,MV,1706748712
134,kostomuksha,64.571,30.5767,0.02,95,100,6.26,RU,1706748712
135,prince rupert,54.3161,-130.3201,11.05,87,100,7.2,CA,1706748611
136,zemio,5.0314,25.1361,21.54,28,100,1.7,CF,1706748712
137,sinabang,2.4803,96.3801,27.23,80,98,0.19,ID,1706748712
138,mao,39.8885,4.2658,7.31,93,20,2.06,ES,1706748712
139,banda aceh,5.5577,95.3222,25.87,84,41,5.61,ID,1706748712
140,le port,-20.9373,55.2919,24.98,84,13,1.44,RE,1706748712
141,vadso,70.0744,29.7487,1.09,69,40,8.75,NO,1706748713
142,novyy urgal,51.0736,132.5642,-29.29,92,31,0.08,RU,1706748713
143,baglung,28.2719,83.5898,7.23,64,15,2.63,NP,1706748713
144,st. john's,47.5649,-52.7093,-6.03,87,0,4.63,CA,1706748641
145,bontang,0.1333,117.5,25.79,89,100,1.89,ID,1706748713
146,saldanha,-33.0117,17.9442,19.03,94,4,5.76,ZA,1706748704
147,moscow,55.7522,37.6156,0.35,97,100,3.25,RU,1706748554
148,dunedin,-45.8742,170.5036,14.11,78,100,2.21,NZ,1706748713
149,karachi,24.9056,67.0822,19.9,88,40,1.54,PK,1706748603
150,kijang,35.2442,129.2139,5.85,76,100,4.93,KR,1706748713
151,viedma,-40.8135,-62.9967,21.39,56,19,4.33,AR,1706748714
152,ulladulla,-35.35,150.4667,25.35,59,0,4.19,AU,1706748714
153,kavieng,-2.5744,150.7967,28.84,76,77,5.77,PG,1706748714
154,sovetskaya gavan',48.9723,140.2878,-17.16,89,13,5.63,RU,1706748714
155,mount pearl,47.5166,-52.7813,-6.49,87,0,4.63,CA,1706748714
156,bilibino,68.0546,166.4372,-39.0,99,36,1.88,RU,1706748714
157,ust-nera,64.5667,143.2,-27.01,100,100,1.82,RU,1706748714
158,klaksvik,62.2266,-6.589,3.51,58,0,17.22,FO,1706748714
159,karratha,-20.7377,116.8463,31.55,56,82,5.06,AU,1706748714
160,flying fish cove,-10.4217,105.6791,25.82,100,40,1.54,CX,1706748715
161,mount gambier,-37.8333,140.7667,22.32,47,0,4.96,AU,1706748715
162,north platte,41.1239,-100.7654,11.32,54,0,2.24,US,1706748715
163,udachny,66.4167,112.4,-31.17,100,93,1.52,RU,1706748708
164,hirara,24.8,125.2833,22.92,83,20,5.14,JP,1706748715
165,bardai,11.65,7.2333,18.81,21,0,5.89,NG,1706748715
166,datong,40.0936,113.2914,-10.02,62,100,1.46,CN,1706748715
167,el porvenir,13.7617,-87.3458,21.63,62,0,3.74,HN,1706748715
168,bodo,67.28,14.405,4.02,66,75,10.29,NO,1706748716
169,smithers,54.7804,-127.1743,4.18,100,75,2.57,CA,1706748716
170,gizo,-8.103,156.8419,29.57,73,20,4.59,SB,1706748716
171,giado,31.9582,12.0203,7.03,65,0,1.86,LY,1706748716
172,guerrero negro,27.9769,-114.0611,19.68,49,0,5.38,MX,1706748716
173,lethem,3.3803,-59.7968,28.9,64,100,5.16,GY,1706748716
174,kachia,9.8667,7.95,21.66,23,21,5.06,NG,1706748716
175,wodonga,-36.1167,146.8833,28.95,32,0,2.16,AU,1706748478
176,sao vicente,-23.9631,-46.3919,25.15,88,23,0.84,BR,1706748716
177,dibba al-hisn,25.6196,56.2729,21.1,68,28,0.28,AE,1706748716
178,new norfolk,-42.7826,147.0587,22.72,55,89,5.97,AU,1706748717
179,opuwo,-18.0607,13.84,25.59,36,99,1.56,NA,1706748717
180,olyokminsk,60.3736,120.4264,-22.34,95,100,1.94,RU,1706748717
181,weno,7.4515,151.8468,28.97,74,75,5.14,FM,1706748716
182,garh maharaja,30.8339,71.9053,10.84,56,0,1.39,PK,1706748717
183,ridgecrest,35.6225,-117.6709,18.92,35,75,2.24,US,1706748717
184,shache,38.4167,77.2406,-4.25,96,100,1.73,CN,1706748717
185,afaahiti,-17.75,-149.2833,29.93,77,6,5.39,PF,1706748717
186,katabu,-4.9333,122.5167,29.4,71,100,3.03,ID,1706748717
187,champerico,14.3,-91.9167,30.3,74,15,2.95,GT,1706748718
188,lihue,21.9789,-159.3672,25.77,65,100,4.63,US,1706748718
189,manta,-0.95,-80.7333,27.78,74,75,5.81,EC,1706748718
190,svetlyy,54.675,20.1347,4.09,85,100,8.85,RU,1706748718
191,kone,-21.0595,164.8658,29.91,70,88,0.07,NC,1706748718
192,lastoursville,-0.8143,12.7287,23.35,89,100,0.88,GA,1706748718
193,emerald,-23.5333,148.1667,30.19,59,84,5.56,AU,1706748718
194,bogorodskoye,56.55,37.8833,-0.97,98,100,2.67,RU,1706748718
195,babaeski,41.4325,27.0931,0.48,84,14,2.67,TR,1706748718
196,santarem,-2.4431,-54.7083,29.07,79,40,2.57,BR,1706748670
197,punta arenas,-53.15,-70.9167,12.06,58,0,1.03,CL,1706748716
198,tazovsky,67.4667,78.7,-24.21,99,94,4.86,RU,1706748719
199,zaozersk,69.4005,32.4476,-0.72,83,100,9.42,RU,1706748719
200,saint-francois,46.4154,3.9054,8.69,100,100,0.0,FR,1706748719
201,mega,4.05,38.3,17.03,53,100,3.52,ET,1706748719
202,kavaratti,10.5669,72.642,27.26,73,98,5.62,IN,1706748719
203,galesong,-5.3166,119.3661,27.01,76,96,3.72,ID,1706748719
204,hotan,37.0997,79.9269,-4.9,97,99,0.45,CN,1706748719
205,chui,-33.6971,-53.4616,20.93,78,0,2.87,UY,1706748720
206,guozhen,34.3659,107.359,2.64,99,100,1.99,CN,1706748720
207,papao,-17.75,-149.55,30.82,80,3,5.83,PF,1706748720
208,kidal,18.4411,1.4078,17.46,22,99,6.33,ML,1706748720
209,ploudalmezeau,48.5333,-4.65,11.21,93,100,4.12,FR,1706748720
210,tonning,54.3167,8.95,6.18,84,100,6.98,DE,1706748720
211,ancud,-41.8697,-73.8203,15.18,96,7,3.53,CL,1706748720
212,lucapa,-8.4192,20.7447,18.2,98,100,0.92,AO,1706748720
213,birao,10.2849,22.7882,22.12,20,100,4.92,CF,1706748720
214,saipan,15.1355,145.701,27.39,65,100,9.26,MP,1706748696
215,georgetown,5.4112,100.3354,27.75,86,20,3.6,MY,1706748721
216,rio grande,-32.035,-52.0986,23.06,79,0,4.56,BR,1706748622
217,kargat,55.1956,80.2811,-13.83,97,94,2.66,RU,1706748721
218,patong,7.8961,98.2966,25.08,77,86,3.84,TH,1706748721
219,leava,-14.3,-178.1667,29.19,78,100,6.22,WF,1706748721
220,daru,-9.0763,143.2092,29.63,68,96,5.34,PG,1706748721
221,lensk,60.7253,114.9278,-30.19,100,98,1.45,RU,1706748722
222,ginir,7.1333,40.7,14.23,60,91,0.94,ET,1706748722
223,yatou,37.15,122.3833,-2.18,54,82,10.67,CN,1706748722
224,luderitz,-26.6481,15.1594,20.58,68,65,7.34,NA,1706748722
225,al ghayzah,16.2079,52.176,23.73,80,45,3.43,YE,1706748722
226,nadi,-17.8,177.4167,31.0,74,75,4.12,FJ,1706748722
227,kununurra,-15.7667,128.7333,31.99,70,98,0.51,AU,1706748722
